trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,7,1,0.4723615999973845,0.5843785999968532,1.7817233000023407
0,1,8,2,0.24296250000043074,0.8273934999961057,2.0247388999996474
0,2,3,4,0.22454689999722177,1.0519977000003564,2.249343100003898
0,3,6,4,0.2814881000012974,1.3335447999997996,2.5308902000033413
0,4,1,5,0.2801748999991105,1.613777399994433,2.8111226000037277
0,5,5,4,0.3133645999987493,1.9271988999971654,3.1245441999999457
0,6,4,4,0.36719139999331674,2.2944465999971726,3.491791899999953
0,7,9,5,0.24364040000364184,2.5381444999948144,3.7354898000048706
0,8,2,4,0.4761260000013863,3.0143281999989995,4.2116730000052485
0,9,0,5,0.35143109999626176,3.3658055999985663,4.563151000002108
