trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,6,9,4.251283399993554,7.158270700005232,8.577275099989492
0,1,4,4,1.0813433000002988,8.239673300005961,9.658677499988698
0,2,0,0,1.2075949999998556,9.44731290001073,10.866317199994228
0,3,1,2,1.8764145000022836,11.323781600003713,12.742785999987973
0,4,7,7,1.0841474999906495,12.40797559999919,13.82697989999724
0,5,2,8,1.6931857000017771,14.10120740000275,15.520211600000039
0,6,9,9,4.49704770000244,18.598301300007734,20.017305699991994
0,7,8,8,46.68044370001007,65.27879180001037,66.69779619999463
0,8,5,0,1.0426636999909533,66.32151270000031,67.74051699999836
0,9,3,3,2.811285300005693,69.13284420000855,70.55184859999281
0,10,5,0,1.048402599990368,70.18129259999841,71.60029709999799
0,11,4,4,1.02064160000009,71.20200320000004,72.62100749999809
0,12,7,7,0.8981307999929413,72.10017750000407,73.51918189998833
0,13,2,2,1.1433350000006612,73.24355970000033,74.66256399999838
0,14,1,7,1.7194233000045642,74.96302750000905,76.38203169999178
0,15,0,0,2.013001400002395,76.97607400000561,78.39507839998987
0,16,3,2,2.0734273999987636,79.04955619999964,80.4685604999977
0,17,8,0,1.1488045000005513,80.19843090001086,81.61743519999436
0,18,9,3,1.566065700011677,81.76454270000977,83.18354699999327
0,19,6,9,0.9134041999932379,82.67799209999794,84.09699639999599
1,0,8,8,2.1060643999953754,2.7842318000039086,86.88127249998797
1,1,2,2,1.4809706999949412,4.2652604000031715,88.36230110000179
1,2,4,4,1.089414800007944,5.354721100011375,89.45176149999315
1,3,1,1,3.678738800008432,9.033504300008644,93.13054479999118
1,4,6,8,2.0446892000036314,11.078240800008643,95.17528159999347
1,5,5,0,1.3392756999965059,12.417583000002196,96.51462349999929
1,6,9,9,1.3374704000016209,13.75509810000949,97.85213859999203
1,7,7,7,1.2418996000051266,14.997042900009546,99.09408349999285
1,8,0,0,1.0579942999902414,16.05508099999861,100.1521214999957
1,9,3,3,1.3187034000002313,17.373830500000622,101.47087099999771
1,10,1,2,1.3810818000056315,18.754956300006597,102.85199699999066
