trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,5,2,1.94085436900059,2.6679554080001253,3.41389977200015
0,1,3,3,2.9266098709995276,5.594665419999728,6.3406092549994355
0,2,9,9,1.2885166460000619,6.883236632998887,7.629181177000646
0,3,7,7,1.329186185999788,8.212484161998873,8.958428100000674
0,4,1,2,1.4945354750016122,9.70708063299935,10.453024663000178
0,5,4,2,1.7843387770008121,11.491479669999535,12.237423665999813
0,6,6,3,1.5448673749997397,13.036406817998795,13.782351559000745
0,7,2,2,1.3599546310015285,14.396445368000059,15.142389994000041
0,8,0,0,1.2704555290001736,15.666974521998782,16.41291825799999
0,9,8,8,1.7438576219992683,17.410884781998902,18.15682846799973
1,0,7,7,1.5095183639987226,2.5115732430003845,20.668454141999973
1,1,5,1,2.224219059000461,4.735847632999139,22.892728426000758
1,2,9,0,1.856443777000095,6.592344570999558,24.749225837000267
1,3,2,2,1.1452873250000266,7.737694137998915,25.8945893479995
1,4,1,7,4.263758974999291,12.001554596999995,30.1584356809999
1,5,3,0,1.8078974430009112,13.809510675999263,31.96639262499957
1,6,6,9,1.1845282079993922,14.994124467999427,33.151006612000856
1,7,4,6,1.4135182820009504,16.407739189000495,34.564620182
1,8,8,2,0.9439837139998417,17.35177525399922,35.508656021000206
1,9,0,7,1.0557438889991317,18.40757194499929,36.564452804999746
2,0,2,2,1.0567835189995094,1.6486722449990339,38.21317492699927
2,1,7,7,1.1515273349996278,2.800261693999346,39.36476452200077
2,2,1,0,4.304805148000014,7.105127314998754,43.669629920999796
2,3,4,1,0.9827864590006357,8.087972232999164,44.65247455899953
2,4,0,7,1.0343532839997351,9.122381019000386,45.686884328000815
2,5,5,4,0.6158997989987256,9.738357890999396,46.30286086200067
2,6,3,5,0.9978903600003832,10.736326251999344,47.30082942000081
2,7,6,9,0.767812056999901,11.50422129799881,48.06872366300013
2,8,8,8,0.7117702719988301,12.21604476399989,48.78054729299947
2,9,9,0,1.730380195998805,13.946484977999717,50.51098811100019
3,0,4,7,2.815575816999626,3.5735709970012977,54.08462736100046
3,1,8,0,1.0582969440001762,4.631921731999682,55.14297823599918
3,2,5,1,1.3906019139994896,6.022582005000004,56.53363866499967
3,3,6,2,3.030934526999772,9.05357377800101,59.56463025999983
3,4,7,7,1.0960642249992816,10.149690678999832,60.660747415000515
3,5,1,2,1.1680372779992467,11.317785700999593,61.82884214600017
3,6,2,2,0.9761584000007133,12.293996878001053,62.8050533709993
3,7,3,3,1.5040547370008426,13.798107567001352,64.30916450500081
3,8,0,4,1.4010785179998493,15.199249293000321,65.71030662799967
3,9,9,0,1.5685097240002506,16.767832772000475,67.27888990000065
4,0,0,8,8.631755570999303,9.35789680200105,76.6368559980001
4,1,7,7,1.5136472279991722,10.871598611000081,78.15055912500065
4,2,9,2,1.7043998669996654,12.576105338999696,79.85506560700014
4,3,3,8,1.8779831230003765,14.454166745999828,81.73312790499949
4,4,1,2,1.375738928998544,15.830008893999548,83.10896806399978
4,5,5,5,2.3516926460015384,18.18175506800071,85.46071476699944
4,6,6,2,1.824088101999223,20.005905082000027,87.28486451400022
4,7,2,2,0.8637189639994176,20.86967736400038,88.14863664100085
4,8,8,0,1.1060039210005925,21.975736432999838,89.25469658399925
4,9,4,7,0.9754858649994276,22.95129684099993,90.23025681599938
5,0,5,0,0.9613024279988167,1.5197450529994967,91.75007253700096
5,1,9,1,0.9106969399999798,2.430502637000245,92.66082969200033
5,2,3,9,1.1296474909995595,3.5602065500006574,93.79053487900092
5,3,8,3,0.7351179369998135,4.295430644000589,94.52575803199943
5,4,0,7,1.1828241299990623,5.478313437999532,95.70864084099958
5,5,1,2,1.1359263579997787,6.614296953999656,96.84462411800087
5,6,4,9,0.9302054599993426,7.54455603399947,97.77488425500087
5,7,7,7,1.094071759000144,8.638701657000638,98.86902907500007
5,8,2,2,1.0392544690002978,9.678013138000097,99.90834031799932
5,9,6,4,1.090279083000496,10.768347506000282,100.99867485100003
6,0,4,3,3.7461747209999885,4.271945874999801,105.27067731399984
6,1,8,0,1.2381774710011086,5.510205362999841,106.50893591500062
6,2,1,1,1.9770743709996168,7.4873333890009235,108.48606408900014
6,3,3,2,1.0566080899989174,8.544001105999996,109.54273243600073
6,4,7,7,1.05546337800115,9.599547855999845,110.59827923199919
6,5,5,5,2.1442535779988248,11.743882135000604,112.74261350800043
6,6,0,9,1.6379895099998976,13.381948715999897,114.38067952900019
6,7,2,2,0.8737137479984085,14.255725519000407,115.25445698200019
6,8,6,4,1.9678253759993822,16.223631820001174,117.2223622269994
6,9,9,5,0.8142726019996189,17.037967033000314,118.03669768600048
7,0,4,0,2.1749155439993046,2.815782191000835,120.85253467800067
7,1,2,2,0.9358630330007145,3.7516990730000543,121.7884517399998
7,2,1,1,1.1695275609999953,4.921282462000818,122.9580350590004
7,3,5,5,1.31034144700061,6.23167853599989,124.26843132199974
7,4,7,7,1.1284288070000912,7.360177675000159,125.39693066700056
7,5,9,9,1.4014079320004384,8.761649801999738,126.7984036910002
7,6,6,8,1.1200952309991408,9.881829686000856,127.91858259699984
7,7,0,8,1.760327120000511,11.642217771001015,129.6789705379997
7,8,3,0,1.295499657999244,12.937777565999568,130.97453133700037
7,9,8,3,0.9587072550002631,13.896591205000732,131.93334405399946
8,0,6,6,4.014918670998668,4.615725278999889,136.54912485400018
8,1,5,5,4.481305421000798,9.097096728000906,141.0304966599997
8,2,9,0,1.8701183369994396,10.967296798000461,142.90069623899944
8,3,7,7,1.072641990000193,12.03999911900064,143.9733983570004
8,4,8,3,2.76698703799957,14.807043550999879,146.74044243800017
8,5,3,3,1.3200139389991818,16.127109910999934,148.0605090450008
8,6,1,1,1.4964542750003602,17.623623024999688,149.5570222940005
8,7,2,2,0.8578051310014416,18.481491075999656,150.41489018799984
8,8,4,4,4.613873611000599,23.095427166999798,155.0288261120004
8,9,0,9,1.3440705630000593,24.439550428000075,156.37294977300007
9,0,0,0,1.7122889539987227,2.3921289179997984,158.76513310200062
9,1,4,8,1.407791282999824,3.799981267999101,160.17298526500053
9,2,5,5,1.1993825909994484,4.999423121998916,161.3724271049996
9,3,1,1,1.5129211880012008,6.512398263999785,162.8854023950007
9,4,6,7,2.496108989998902,9.008566638000048,165.3815707899994
9,5,3,3,1.4645397260010213,10.473167451000336,166.84617256000092
9,6,8,9,1.1595713009992323,11.632820396998795,168.00582439199934
9,7,2,2,1.0386828780010546,12.671559768999941,169.0445634259995
9,8,9,4,1.498110706001171,14.16972540399911,170.54273038300016
9,9,7,7,0.9347136310007045,15.104519136999443,171.47752309899988
