trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,5,5,0.8002768000005744,2.0990767999974196,3.275444699997024
0,1,2,2,0.8339763999974821,2.9331049999964307,4.109482499996375
0,2,9,9,0.9924281999992672,3.925586999997904,5.101954899997509
0,3,0,0,0.7764670999968075,4.7020974999977625,5.878465399997367
0,4,8,8,1.036053699994227,5.7381975000025705,6.9145654999956605
0,5,1,1,0.7102328000037232,6.448475400000461,7.6248431999993045
0,6,7,7,0.8005370000028051,7.2490580000012415,8.425425800000085
0,7,3,3,0.8498610999959055,8.098963899996306,9.27533179999591
0,8,6,8,0.8627609999966808,8.961768599998322,10.138136399997165
0,9,4,4,0.6249993000019458,9.586823099998583,10.763190899997426
1,0,4,4,0.748839500003669,1.3992968999955337,12.162531299996772
1,1,0,0,0.8340725999951246,2.233413899994048,12.996648199994524
1,2,5,5,0.7415404999992461,2.9750000999993063,13.73823459999403
1,3,6,3,0.6456555999975535,3.620702499996696,14.383936799997173
1,4,9,2,1.1754230000005919,4.796168599998055,15.559402899998531
1,5,3,9,0.54766259999451,5.3438765999962925,16.107111199999053
1,6,1,1,0.7134844999964116,6.057406399995671,16.82064079999691
1,7,8,8,0.9437915999951656,7.001246799998626,17.764481199999864
1,8,7,7,0.7103175999945961,7.711624700001266,18.47485909999523
1,9,2,2,0.7697098999997252,8.481378799995582,19.24461309999606
