trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,4,2,2.3657968000043184,2.7781413000047905,3.9908422000007704
0,1,6,4,0.24566739999863785,3.023860600005719,4.236562300000514
0,2,7,6,0.36115589999826625,3.38507020000543,4.597771200002171
0,3,8,7,0.2509972999978345,3.636122500000056,4.848824100001366
0,4,1,6,0.3218650999988313,3.958040700003039,5.170742300004349
0,5,5,4,0.21954490000644,4.177638300003309,5.390339999998105
0,6,0,2,0.27840909999940777,4.456102000003739,5.668803699998534
0,7,3,3,0.21140530000411673,4.66756180000084,5.88026340000215
0,8,9,6,0.36339869999937946,5.031014800006233,6.243715800002974
0,9,2,6,0.31022780000057537,5.34128650000639,6.553988100000424
1,0,1,6,0.328140199999325,0.446828899999673,7.000872900003742
1,1,3,4,0.3877398999975412,0.8346221000028891,7.388665400001628
1,2,5,5,0.22539169999799924,1.0600588000015705,7.614102699997602
1,3,2,3,0.23905889999878127,1.2991732000009506,7.853217199997744
1,4,8,3,0.3025692000010167,1.601799199997913,8.15584310000122
1,5,6,1,0.23137649999989662,1.833231099997647,8.387275100001716
1,6,7,5,0.2878428000040003,2.121135499997763,8.67517940000107
1,7,4,8,0.32230239999626065,2.44349350000266,8.997537600000214
1,8,9,7,0.2405432000014116,2.684089900001709,9.23813379999774
1,9,0,8,0.22399849999783328,2.908142799999041,9.46218680000311
