trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,3,3,4.469259773999511,5.231956581999839,5.973776585000451
0,1,6,8,1.9040345510002226,7.136053010999603,7.8778728890010825
0,2,2,2,1.216989938999177,8.35309478399904,9.094914869001514
0,3,0,0,1.6146632239997416,9.967817726999783,10.709637302999909
0,4,1,9,2.3761106980000477,12.34398055299971,13.085800314000153
0,5,5,0,1.143781744998705,13.487815200000114,14.229635413001233
0,6,9,9,1.553284588000679,15.041154702999847,15.782975237001665
0,7,8,8,1.8248911310001859,16.86612857,17.607949203000317
0,8,4,4,1.6474316589992668,18.513641810999616,19.25546243700046
0,9,7,7,1.9125255640010437,20.426248321000458,21.168068894001408
1,0,5,0,1.0100451969992719,1.5596455730010348,22.727784422000695
1,1,0,0,1.352298920000976,2.912030887000583,24.080169625000053
1,2,3,3,1.7414929019996634,4.65359567500127,25.82173356400017
1,3,1,1,2.7304178969989152,7.384071588001461,28.552210512001693
1,4,6,8,3.1355429439990985,10.519688836000569,31.687826862000293
1,5,9,9,1.2868830440002057,11.806631383000422,32.9747692760011
1,6,8,8,0.9684057089998532,12.775096429000769,33.9432350900006
1,7,2,5,3.983603201000733,16.758773706000284,37.92691183900024
1,8,7,7,1.222622699000567,17.98145556200143,39.14959334500054
1,9,4,4,1.1864290269986668,19.16793801300082,40.3360765590005
2,0,5,0,0.8962844950001454,1.374067988999741,41.71021320300133
2,1,8,9,0.9935178409996297,2.367648483001176,42.70379354200122
2,2,1,1,1.1427566160000424,3.510462506001204,43.84660792200157
2,3,9,8,2.1291518489997543,5.639673743000458,45.97581956300019
2,4,4,4,1.3346260449998226,6.974376916999972,47.31052388200078
2,5,0,0,1.0869655049991707,8.061443988000974,48.397588876001464
2,6,3,9,2.120859267999549,10.182355750999704,50.51850067000123
2,7,6,8,1.4095115000000078,11.591922483001326,51.92806865700004
2,8,7,7,1.7258471229997667,13.317843771999833,53.653989112001
2,9,2,2,1.8012050480010657,15.11910891700063,55.45525394000106
3,0,1,1,1.1439163310005824,1.7206612680001854,57.1759655650003
3,1,0,0,1.1260056629998871,2.8467392870006734,58.30204305600091
3,2,3,3,1.8319814650003536,4.6787813259998074,60.13408515300034
3,3,9,9,0.9594786770012433,5.6383182179997675,61.09362179400159
3,4,2,2,3.440338188000169,9.078709168999922,64.5340129210017
3,5,7,7,1.1757824380001693,10.254552895001325,65.70985731900146
3,6,5,0,1.1199630219998653,11.374576006001007,66.82987978300116
3,7,8,8,3.991952008998851,15.36658523799997,70.82188877600129
3,8,6,6,2.96809163800026,18.33473010200032,73.79003384000134
3,9,4,4,1.105897420000474,19.440680691001035,74.89598603500053
4,0,9,9,1.1694339929999842,1.6228124469998875,76.51885227800085
4,1,8,8,1.374922766999589,2.997797530000753,77.89383690500108
4,2,4,4,1.0720469370007777,4.069901939999909,78.96594125299998
4,3,7,7,1.2165230699993117,5.286477342999206,80.18251723899994
4,4,3,3,8.257363327000348,13.543902663999688,88.43994281900086
