trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,1,1,2.1826297000516206,6.536302800057456,7.758667799877003
0,1,6,6,10.022737100021914,16.56034680013545,17.782711799954996
0,2,3,3,5.214852100005373,21.776350599946454,22.99871559999883
0,3,4,4,0.9429641999304295,22.72048579994589,23.942850899882615
0,4,5,5,1.2067322998773307,23.928356599994004,25.150721699930727
0,5,7,7,1.254707899875939,25.184337600134313,26.40670259995386
0,6,1,1,1.0068894000723958,26.192344000097364,27.41470899991691
0,7,7,7,1.310861499980092,27.50431410013698,28.726679200073704
0,8,5,5,1.094941500108689,28.60033609997481,29.82270110002719
0,9,4,4,1.102959199808538,29.704377100104466,30.92674220004119
0,10,8,9,5.974746499909088,35.68029380007647,36.90265879989602
0,11,1,1,1.4068640999030322,37.088340800022706,38.310705800075084
0,12,8,8,9.806842499878258,46.89636400016025,48.11872910009697
0,13,0,0,1.3507529001217335,48.2483773001004,49.470742400037125
0,14,5,5,1.2387594000902027,49.48836550000124,50.710730500053614
0,15,6,6,4.830804100027308,54.32038110005669,55.54274619999342
0,16,0,0,1.5748226998839527,55.89635200006887,57.11871819989756
0,17,2,2,1.4628403999377042,57.36035279999487,58.58271780004725
0,18,3,3,3.4628258000593632,60.8243321001064,62.04669709992595
0,19,5,5,1.1426365999504924,61.96828170004301,63.190646700095385
1,0,3,8,4.5348896000068635,5.336028600111604,68.52671939996071
1,1,8,8,3.4388946001417935,8.776080300100148,71.96677109994926
1,2,9,0,5.46276479982771,14.240024900063872,77.43071580003016
1,3,2,2,1.0466964999213815,15.28795209992677,78.47864290000871
1,4,3,3,2.4709834000095725,17.760092200012878,80.95078289997764
1,5,6,6,2.5185215999372303,20.280025999993086,83.47071689995937
1,6,4,4,1.1588471999857575,21.440065799979493,84.63075680006295
1,7,7,7,1.022705800132826,22.464042000006884,85.65473289997317
1,8,9,3,1.9588487001601607,24.42404710012488,87.61473800009117
1,9,0,0,2.8308175997808576,27.256014300044626,90.44670520001091
1,10,8,8,2.670771599980071,29.92800540011376,93.11869630008005
1,11,0,0,1.206850100075826,31.13600950012915,94.32670020009391
1,12,6,6,3.6869028001092374,34.82406010013074,98.01475109998137
1,13,3,3,1.2627190998755395,36.08799950010143,99.27869029995054
1,14,5,5,1.1027858001179993,37.19197489996441,100.38266570004635
1,15,1,1,1.0709746000356972,38.264109400101006,101.45480030006729
1,16,0,0,1.6707297000102699,39.93602739996277,103.1267182000447
1,17,8,9,3.9987666001543403,43.9360178001225,107.12670870008878
1,18,1,1,0.814776100218296,44.75200799992308,107.94269869988784
1,19,5,5,1.0788591001182795,45.832016800064594,109.02270770003088
2,0,7,7,1.0229096999391913,1.6639427000191063,110.68669650005177
2,1,9,3,3.21484289993532,4.879915100056678,113.90266910009086
2,2,5,5,2.5988888000138104,7.4799738000147045,116.50272740004584
2,3,3,3,1.8388316999189556,9.3199387001805,118.34269240009598
2,4,5,5,1.2708902000449598,10.591996100032702,119.61474979994819
2,5,7,7,1.1587432001251727,11.751901700161397,120.77465540007688
2,6,5,5,1.2229045000858605,12.975961599964648,121.99871529988013
2,7,4,4,0.7908092001453042,13.767906800145283,122.79067340004258
2,8,1,1,0.8067889001686126,14.575904600089416,123.5986583000049
2,9,2,2,0.8549194999504834,15.43195050000213,124.45470419991761
2,10,9,0,5.98286490002647,21.415968999965116,130.4387226998806
2,11,5,5,3.4788448999170214,24.89596110000275,133.91871479991823
2,12,8,8,1.8948012001346797,26.791915900073946,135.81466959998943
2,13,1,1,0.8548699000384659,27.64795060013421,136.67070419993252
2,14,3,3,1.1987032999750227,28.847935700090602,137.8706892998889
2,15,5,5,0.9187303001526743,29.767882500076666,138.79063609987497
2,16,9,0,4.006677399855107,33.77598260017112,142.79873639997095
2,17,4,4,1.3107640999369323,35.08792049996555,144.11067419988103
2,18,1,1,0.7906848001293838,35.879883400164545,144.90263699996285
2,19,6,8,1.6389848999679089,37.51996730011888,146.5427210999187
3,0,9,9,1.9188997000455856,2.919968399917707,149.46273709996603
3,1,5,5,1.1666259998455644,4.087889099959284,150.63065769989043
3,2,3,3,1.2467238998506218,5.3359266999177635,151.87869530008174
3,3,8,8,2.75091139995493,8.087981499964371,154.63075009989552
3,4,7,7,1.0147866001352668,9.103932600002736,155.6467011999339
3,5,9,9,3.334860999835655,12.439913099864498,158.98268170002848
3,6,7,7,0.9829095001332462,13.423962299944833,159.96673099999316
3,7,2,2,1.3988457000814378,14.823920299997553,161.3666888999287
3,8,4,4,0.8469500001519918,15.672006499953568,162.2147752000019
3,9,6,8,1.5907125000376254,17.263874599942937,163.80664329999126
3,10,0,9,4.118875900050625,21.38395269983448,167.9267213998828
3,11,3,3,3.902830299921334,25.287985699949786,171.8307543999981
3,12,2,2,1.014723900007084,26.30394329992123,172.84671199996956
3,13,3,3,1.8788016999606043,28.183924400014803,174.72669319994748
3,14,5,5,0.8547169999219477,29.039854699978605,175.58262329990976
3,15,4,4,0.7988823999185115,29.83991039986722,176.3826790000312
3,16,8,8,3.2069505001418293,33.04799139988609,179.5907600999344
3,17,5,5,1.0546303000301123,34.10389110003598,180.64665969996713
3,18,7,7,0.9588335999287665,35.063901299843565,181.60666990000755
3,19,4,4,1.5989362997934222,36.663983799982816,183.2067525999155
4,0,9,9,4.286965500097722,5.0158865000121295,188.2226851999294
4,1,5,5,1.0547811000142246,6.071853899862617,189.27865229989402
4,2,2,2,1.022899700095877,7.095884799957275,190.30268319998868
4,3,4,4,0.7267916998825967,7.82380779995583,191.03060609987006
4,4,9,9,1.750832499936223,9.575854599941522,192.78265299997292
4,5,6,8,2.6228313001338392,12.199844199931249,195.4066425000783
4,6,0,9,2.6869115999434143,14.887921700021252,198.09471999993548
4,7,3,3,1.9827961002010852,16.871844500070438,200.078642899869
4,8,8,9,3.3350009000860155,20.207986099878326,203.41478449990973
4,9,3,3,6.086802100064233,26.29593489994295,209.50273320009
4,10,1,1,1.022833300055936,27.319941999856383,210.52674039988779
4,11,8,9,2.2707707001827657,29.59184779995121,212.79864610009827
4,12,2,2,1.1349165998399258,30.72793859988451,213.9347371000331
4,13,5,5,0.9988301999401301,31.727902400074527,214.93470069998875
4,14,1,1,0.8068156999070197,32.53582810005173,215.74262650008313
4,15,6,8,1.7349275001324713,34.27192769991234,217.47872609994374
4,16,4,4,3.4787860999349505,37.751881199888885,220.9586795999203
4,17,2,2,0.990851900074631,38.743896399857476,221.95069479988888
4,18,0,0,4.278884399915114,43.02393789985217,226.23073640000075
4,19,2,2,0.8787144001107663,43.903876799857244,227.11067519988865
5,0,3,3,3.655009599868208,4.2800306000281125,231.39075009990484
5,1,8,8,5.774718400090933,10.055962200043723,237.1666816000361
5,2,1,1,0.8707390001509339,10.92787709995173,238.03859669994563
5,3,7,7,1.278906400082633,12.20794519991614,239.3186647000257
5,4,4,4,0.9188335000071675,13.127955900039524,240.23867539991625
5,5,6,6,1.574861700180918,14.703981899889186,241.81470139999874
5,6,3,3,0.9427904998883605,15.647902199998498,242.75862169987522
5,7,2,2,1.526912100147456,17.175949200056493,244.2866688000504
5,8,5,5,0.926814500009641,18.103985900059342,245.21470570005476
5,9,3,3,1.0548634000588208,19.15998060000129,246.270700099878
5,10,7,7,0.9667197000235319,20.127924900036305,247.2386445000302
5,11,4,4,0.854819200001657,20.983916899887845,248.09463649988174
5,12,8,8,3.3989313999190927,24.38402400002815,251.49474349990487
5,13,5,5,0.9427418999839574,25.327921000076458,252.43864049995318
5,14,6,6,2.166956099914387,27.496039000106975,254.60675869998522
5,15,9,9,2.238695500185713,29.735947200097144,256.84666680009104
5,16,6,6,3.366888999938965,33.104035899974406,260.21475540008396
5,17,4,4,4.166742500150576,37.27193469996564,264.3826542000752
5,18,2,2,0.8468345999717712,38.11990360007621,265.23062309995294
5,19,6,6,2.3669137998949736,40.48800710006617,267.5987265999429
6,0,8,8,9.74301109998487,10.327956299996004,277.9267279000487
6,1,2,2,0.8626800000201911,11.191850199829787,278.79062169999816
6,2,6,6,2.070928799919784,13.26398709998466,280.8627587000374
6,3,5,5,1.1267797001637518,14.391929300036281,281.990700900089
6,4,7,7,0.9507170000579208,15.343874000012875,282.9426456000656
