trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,9,7,14.318777700013015,31.778591799957212,33.047156499989796
0,1,5,5,21.894788499979768,53.6746249999851,54.94318970001768
0,2,1,3,6.118833200016525,59.79455109999981,61.06311580003239
0,3,3,9,2.838879899994936,62.63458429998718,63.903149000019766
0,4,5,5,3.7827549999929033,66.41859779995866,67.68716249999125
0,5,3,3,5.054884200042579,71.47456969995983,72.74313439999241
0,6,5,1,3.5989748000283726,75.07464939996134,76.34321419999469
0,7,2,1,2.5668393000378273,77.64256839995505,78.91113309998764
0,8,6,8,4.814915399998426,82.45858579996275,83.72715049999533
0,9,3,6,5.9908676000195555,88.45056689996272,89.71913149999455
1,0,8,3,3.566919200005941,50.01601540000411,139.7351927999989
1,1,1,9,4.326815499982331,54.343961200036574,144.06313860003138
1,2,9,8,4.302971999975853,58.64803470001789,148.36721200001193
1,3,2,8,3.030838699953165,61.67995730001712,151.39913470001193
1,4,0,9,3.0069185000029393,64.68795690004481,154.40713419998065
1,5,5,3,2.566869999980554,67.2559559000074,156.9751333000022
1,6,6,6,2.4148628000402823,69.67190600000322,159.39108329999726
1,7,0,4,3.5749135999940336,73.24795330001507,162.96713070000987
1,8,5,6,2.2468219000147656,75.49593600002117,165.21511370001826
1,9,7,2,4.262917699990794,79.75994920002995,169.479126500024
