trial,cue,digit,processor,keypress,cuetime,trialtime,sessiontime
0,0,6,test,4,4.2905868999660015,7.158005400095135,8.342567399842665
0,1,3,control,7,5.150783600052819,12.309985300060362,13.494547499809414
0,2,7,test,2,5.677430900046602,17.9899943000637,19.174556399928406
0,3,4,test,9,3.5174220998305827,21.509935199981555,22.694497199961916
0,4,7,test,3,5.805403700098395,27.317932800156996,28.502494799904525
0,5,1,test,2,3.397364000091329,30.717940300004557,31.902502399869263
0,6,4,test,0,4.565453300019726,35.28596390015446,36.47052580001764
0,7,0,control,5,6.663005899870768,41.950060200178996,43.13462229981087
0,8,4,control,1,2.094771899981424,44.045928800012916,45.2304909999948
0,9,3,test,5,6.365320999873802,50.413940800121054,51.59850289998576
1,0,2,control,4,6.662706000031903,11.103990899864584,62.70251989993267
1,1,1,test,1,4.613142000045627,15.719994900049642,67.31852380000055
1,2,6,control,9,3.1028180001303554,18.82394969998859,70.4224785999395
1,3,3,control,9,2.6789571999106556,21.5040055999998,73.10253459983505
1,4,4,test,3,7.677548700012267,29.183981799986213,80.78251079982147
1,5,0,test,2,2.613399100024253,31.800003899959847,83.39853279991075
1,6,3,control,7,2.3268486000597477,34.12793349986896,85.72646249993704
1,7,0,test,3,3.853469799971208,37.98401300003752,89.58254209998995
1,8,2,test,8,4.229413300054148,42.215993399964646,93.81452249991708
1,9,6,control,2,4.638778400141746,46.85594179993495,98.45447120000608
2,0,9,test,8,8.349272000137717,10.552004100056365,109.0065009999089
2,1,2,control,2,4.454933699918911,15.008011700119823,113.4625086998567
2,2,6,control,7,2.5908489997964352,17.599954300094396,116.05445119994693
2,3,5,control,7,2.991032499819994,20.592085800133646,119.04659249982797
2,4,6,control,1,5.358725399943069,25.95198060013354,124.40647759987041
2,5,9,control,2,2.766934899846092,28.72000930015929,127.17450629989617
2,6,8,test,8,4.229221199871972,32.951998400036246,131.40649529988877
2,7,0,test,3,2.165440599899739,35.11999030015431,133.5744872998912
2,8,6,control,2,2.83888759999536,37.959987699985504,136.41448459983803
2,9,5,control,6,2.0868857000023127,40.04798380006105,138.50248069991358
3,0,9,control,6,3.262869199970737,4.535968699958175,143.03847499983385
3,1,4,test,8,2.3174527001101524,6.856080400059,145.35858679981902
3,2,8,test,2,3.301347600063309,10.160001700045541,148.66250799992122
3,3,5,control,2,3.0949796000495553,13.25605640001595,151.75856289989315
3,4,7,control,0,1.510857499903068,14.768012200016528,153.27051860000938
3,5,6,test,5,5.909683499950916,20.680158900097013,159.18266529985704
3,6,3,control,2,1.5905488999560475,22.272016800008714,160.7745230998844
3,7,7,control,0,1.326870399992913,23.60001840000041,162.10252469987608
3,8,4,test,5,3.909412099979818,27.511960200034082,166.01446649990976
3,9,8,control,4,1.7348156000953168,29.247972700046375,167.7504790998064
4,0,5,control,7,4.046993300085887,5.168049099855125,172.9185544999782
4,1,0,test,8,5.565469299908727,10.736003999831155,178.48650939995423
4,2,1,test,6,1.8854020000435412,12.623993400018662,180.37449870002456
4,3,3,control,2,2.0468898999970406,14.671996699878946,182.42250199988484
4,4,7,test,9,5.629415099974722,20.304010899970308,188.05451639997773
4,5,2,control,3,3.23886390007101,23.54401579988189,191.2945210998878
4,6,5,test,6,3.157306200126186,26.703953600022942,194.4544589999132
4,7,2,test,5,2.83743380010128,29.544013699982315,197.29451909987256
4,8,1,control,4,7.430890399962664,36.975993199972436,204.72649849997833
4,9,3,control,3,9.486956599866971,46.464063899824396,214.21456929994747
5,0,1,control,5,5.654952600132674,7.063916099956259,221.27851059986278
5,1,7,control,1,5.4228437000419945,12.487922700121999,226.70251729991287
5,2,3,control,2,1.55089579988271,14.039889600127935,228.25448439992033
5,3,4,control,1,1.894869599957019,15.935854600043967,230.1504490999505
5,4,1,test,3,2.005119599867612,17.943881100043654,232.15847569983453
5,5,4,test,5,3.2454351999331266,21.191878200042993,235.40647269994952
5,6,7,control,1,3.1349123001564294,24.32787619996816,238.54247079999186
5,7,8,test,5,2.325445600086823,26.65590100013651,240.8704954998102
5,8,2,test,4,2.877444999990985,29.535942000104114,243.75053650001064
5,9,9,test,0,3.853342999937013,33.39189340011217,247.60648799990304
6,0,4,control,1,4.758906000060961,5.91993990004994,253.52645409991965
6,1,6,test,8,5.053326700115576,10.975957999937236,258.58247219980694
6,2,3,control,4,2.2709701999556273,13.247982000000775,260.85449609998614
6,3,0,control,4,3.0548437999095768,16.30396130005829,263.910475499928
6,4,3,control,4,1.3828943001572043,17.687951399944723,265.2944656999316
6,5,0,control,4,0.7829117001965642,18.471937000053003,266.07845109980553
6,6,6,test,8,3.133545499993488,21.608048300025985,269.2145624998957
6,7,5,control,3,2.886830599978566,24.495975399855524,272.1024894998409
6,8,3,test,6,9.037453399971128,33.5359948000405,281.14250890002586
6,9,7,test,8,3.317389899864793,36.856022799853235,284.4625369999558
7,0,9,control,2,2.2949440001975745,3.415931399911642,287.878493799828
7,1,5,test,6,1.9573805001564324,5.375926699955016,289.838488999987
7,2,6,test,9,1.5733475999440998,6.951919500017539,291.41448169993237
7,3,3,test,5,2.8454056999180466,9.799978299997747,294.2625404999126
7,4,8,test,6,6.2773116999305785,16.07990620005876,300.54246849985793
7,5,3,test,5,3.229401299962774,19.311917700106278,303.77447999990545
7,6,4,test,8,2.38133140001446,21.695919499965385,306.1584817999974
7,7,5,test,3,3.6853358999360353,25.383918500039726,309.84648069995455
7,8,4,test,0,2.4214641998987645,27.80798009992577,312.2705423999578
7,9,6,control,2,3.3349135001190007,31.144014599965885,315.6065767998807
