trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,2,9,4.926626399974339,9.670535000041127,10.894982900004834
0,1,3,9,8.806844500009902,18.478566200006753,19.703014299971983
0,2,2,5,5.582899900036864,24.062600700068288,25.287048600031994
0,3,5,3,3.118813900044188,27.18254190008156,28.406989999930374
0,4,9,5,4.414928499958478,31.59861310000997,32.82306099997368
0,5,8,6,3.4309127000160515,35.03063870000187,36.25508659996558
0,6,5,7,4.09481549996417,39.12654860003386,40.35099679999985
0,7,4,5,3.822573499986902,42.950570499990135,44.175018499954604
0,8,1,1,1.870907099917531,44.822574999998324,46.04702299996279
0,9,3,9,3.886932300054468,48.71059879998211,49.935054300003685
0,10,6,9,2.1588306999765337,50.870586100034416,52.095034099998884
0,11,7,7,2.1268522000173107,52.998527600080706,54.22297559992876
0,12,9,9,2.102894700015895,55.10252259997651,56.32697049994022
0,13,4,3,2.782935700030066,57.886539999977686,59.11098789994139
0,14,8,6,5.599020799971186,63.48663769999985,64.71108559996355
0,15,7,7,1.1267012999160215,64.61454340000637,65.83899129997008
0,16,5,6,2.6148299999767914,67.2305667999899,68.45501479995437
0,17,4,4,2.2629011999815702,69.49457049998455,70.71901859994978
0,18,7,7,1.0308634999673814,70.52656100003514,71.75100899999961
0,19,3,8,2.6228249999694526,73.15052280004602,74.37497080001049
1,0,2,8,5.782832800061442,7.792002700036392,82.1670169000281
1,1,0,3,5.582894999999553,13.376043700031005,87.75105800002348
1,2,4,8,8.71086940006353,22.088024100055918,96.46303949994035
1,3,9,9,3.5828533000312746,25.672044900013134,100.04705910000484
1,4,4,4,2.702904300065711,28.376048199948855,102.7510622999398
1,5,0,7,2.2148235999047756,30.591988099971786,104.96700219996274
1,6,4,4,2.2948437000159174,32.8879710000474,107.26298500003759
1,7,6,5,4.390888799913228,37.279960899963044,111.65497489995323
1,8,4,4,3.262932699988596,40.54401239997242,114.91902659996413
1,9,9,0,2.1508627000730485,42.69599290005863,117.0710068999324
