trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,7,6,2.374639800051227,7.917303099995479,9.14259740000125
0,1,1,2,2.654738200013526,10.573296999908052,11.798591299913824
0,2,2,8,3.502904799999669,14.077387399971485,15.302681799978018
0,3,6,3,2.958664200035855,17.037291000015102,18.26258529990446
0,4,0,9,2.7508394001051784,19.789295599912293,21.014589999918826
0,5,7,5,2.8948550999630243,22.685342799988575,23.910637199995108
0,6,4,1,2.9747472000308335,25.661322299973108,26.88661669997964
0,7,1,1,1.9988443999318406,27.661332899937406,28.886627199943177
0,8,4,7,3.798849399900064,31.461340199923143,32.686634599929675
0,9,3,7,3.36686340009328,34.82937990000937,36.054674099897966
0,10,1,4,2.366753999958746,37.197351199924015,38.422645499929786
0,11,6,4,2.35875589994248,39.55731189996004,40.78260619996581
0,12,8,8,3.542801499948837,43.101323499926366,44.32661779993214
0,13,4,7,4.0468225000659,47.14934339991305,48.37463769991882
0,14,2,8,3.0227560999337584,50.17333559994586,51.39862989995163
0,15,7,8,1.7187102000461891,51.8933481000131,53.118642299901694
0,16,5,3,2.974780600052327,54.869330999907106,56.09462529991288
0,17,9,5,4.766774599906057,59.63739029993303,60.8626845999388
0,18,6,4,3.294732699985616,62.933378999936394,64.15867339994293
0,19,4,4,3.1588274999521673,66.09341109998059,67.31870559998788
0,20,0,8,4.310710399993695,70.40534689999186,71.63064119999763
0,21,8,8,2.04679589997977,72.45335349999368,73.67864790000021
0,22,5,4,2.5267875000135973,74.98132779996376,76.20662199996877
0,23,4,4,1.630904300021939,76.61338279990014,77.83867729990743
0,24,0,0,3.7987618999322876,80.41334999992978,81.63864429993555
1,0,2,6,3.2947561000473797,5.751971899997443,87.39065849990584
1,1,5,3,2.5508527000201866,8.303994200075977,89.94268089998513
1,2,2,0,3.590775299933739,11.895995900034904,93.53468259994406
1,3,9,0,3.062789799994789,14.959973000106402,96.59865969989914
1,4,3,8,4.982866600039415,19.943992600077763,101.58267939998768
1,5,1,4,3.638841800042428,23.583987700054422,105.22267429996282
1,6,8,8,3.8628093000734225,27.44801950000692,109.08670619991608
1,7,7,7,4.086859300034121,31.536049300106242,113.17473609989975
1,8,1,1,5.494747999939136,37.03203330002725,118.67071989993565
1,9,4,4,3.766791000030935,40.79996370000299,122.43865049991291
1,10,1,1,2.8548665000125766,43.65603040007409,125.29471699998248
1,11,4,4,1.6628537999931723,45.32006769999862,126.95875449990854
1,12,2,8,2.6787011000560597,48.00003090000246,129.63871769991238
1,13,6,8,2.5507551999762654,50.55200880009215,132.19069540000055
1,14,8,8,1.766805800027214,52.3200155000668,133.95870219997596
1,15,9,0,4.486797499936074,56.808011800050735,138.4466984999599
1,16,3,7,4.294812300009653,61.10404460004065,142.74273139995057
1,17,2,3,2.4787364999065176,63.583984500030056,145.2226711999392
1,18,1,1,3.558872500085272,67.14404990000185,148.7827368999133
1,19,5,7,4.014800800010562,71.16008250007872,152.7987690999871
1,20,4,8,3.222812000080012,74.38414100010414,156.02282779989764
1,21,0,0,1.8785191000206396,76.26398680009879,157.9026736000087
1,22,6,8,4.078837200067937,80.34405600000173,161.9827426999109
1,23,9,0,2.28676019993145,82.63205230003223,164.27073909994215
1,24,8,8,1.5587336999597028,84.19204490003176,165.83073149994016
2,0,7,7,3.8388848999748006,5.551966600003652,171.3827420999296
2,1,2,3,4.182756299967878,9.735938900033943,175.5667140999576
2,2,9,0,3.1828342999797314,12.920005200081505,178.75078050000593
2,3,8,8,2.678787300013937,15.600029800087214,181.43080500001088
2,4,6,6,4.9427026999183,20.543956200010143,186.3747313999338
2,5,3,3,5.5506436000578105,26.09598039998673,191.9267555999104
2,6,2,9,4.070823400048539,30.167971900082193,195.9987470000051
2,7,8,8,1.6468339000130072,31.815931200049818,197.64670639997348
2,8,7,7,2.3508490999229252,34.16793440002948,199.99870949995238
2,9,8,8,1.262893999926746,35.43196760001592,201.2627429999411
2,10,2,2,3.2308983999537304,38.66401980002411,204.49479499994777
2,11,8,8,1.4467898999573663,40.112024900037795,205.94280019996222
2,12,6,6,3.950685300049372,44.06394970009569,209.89472489990294
2,13,0,9,2.3987520000664517,46.46394660009537,212.29472179990262
2,14,2,9,2.5988915000343695,49.064027499989606,214.89480269991327
2,15,7,7,1.230790999950841,50.296022000024095,216.12679729994852
2,16,1,1,3.3507489999756217,53.64801820006687,219.4787934999913
2,17,2,8,1.6632037999806926,55.31237160007004,221.14314669999294
