trial,cue,digit,processor,keypress,cuetime,trialtime,sessiontime
0,0,5,control,7,9.470693199895322,14.522145499940962,15.71970869996585
0,1,1,control,2,8.150689900037833,22.674093700014055,23.871657000039704
0,2,6,test,0,5.059013899997808,27.842118700034916,29.03968199994415
0,3,3,control,7,12.886811299948022,40.730070899939165,41.927634199964814
0,4,0,test,5,7.572416299954057,48.410130899981596,49.607694200007245
0,5,2,test,1,3.2436547999968752,51.76205040002242,52.95961370004807
0,6,5,test,6,7.626409799908288,59.49013209994882,60.68769529997371
0,7,2,control,8,9.718714999966323,69.21013519994449,70.40769869997166
0,8,1,test,0,2.8619243999710307,72.17809309996665,73.37565619999077
0,9,6,control,7,5.030870800022967,77.21010170003865,78.40766499994788
1,0,7,control,7,13.566891600028612,15.992000699974597,94.39971639995929
1,1,5,test,1,12.426117299939506,28.519965999992564,106.9276815999765
1,2,0,control,2,8.126845100079663,36.647942800074816,115.05565839994233
1,3,1,control,1,3.2868225999409333,39.935897600022145,118.34361330000684
1,4,9,control,9,5.662877899943851,45.59992930002045,124.00764490000438
1,5,3,test,3,10.04223889997229,55.74402700003702,134.1517427000217
1,6,2,control,8,9.07878039998468,64.82396740000695,143.23168309999164
1,7,8,test,1,1.9383987999754027,66.86388359998818,145.27159919997212
1,8,9,control,7,3.790897099999711,70.65593050001189,149.06364619999658
1,9,8,test,1,1.730722100008279,72.48789310001303,150.89560869999696
2,0,4,control,0,4.022856199997477,5.552011299994774,156.44764579995535
2,1,7,control,7,4.086821399978362,9.639978500083089,160.53561330004595
2,2,6,control,9,11.198689199984074,20.839997600065544,171.73563220002688
2,3,3,control,9,4.238815999939106,25.0800238000229,175.97565839998424
2,4,6,test,1,1.8909850999480113,27.071967900032178,177.96760239999276
2,5,0,test,8,2.376275600050576,29.552042499999516,180.44767709996086
2,6,4,control,0,4.390855300007388,33.94402000005357,184.83965470001567
2,7,8,test,1,3.3669262001058087,37.416004200000316,188.31163879996166
2,8,9,test,0,1.56439189997036,39.0880200000247,189.9836546999868
2,9,7,test,1,1.1431915999855846,40.33599980000872,191.23163449997082
3,0,7,test,1,1.7352308999979869,2.992025100043975,194.22369570005685
3,1,4,test,0,2.262903399998322,5.359926000004634,196.59159670001827
3,2,1,control,1,1.1268841000273824,6.487940300023183,197.71961100003682
3,3,3,control,3,6.894930200069211,13.383993300027214,204.6156641000416
3,4,0,test,8,2.1262999000027776,15.615992699982598,206.847663499997
3,5,5,control,9,2.3108676000265405,17.92799280001782,209.15966350003146
3,6,7,test,1,1.6709801000542939,19.70398250001017,210.9356532000238
3,7,8,test,1,4.934746999992058,24.743972099968232,215.97564279998187
3,8,3,test,2,3.9107577999820933,28.75995249999687,219.9916232000105
3,9,4,control,0,2.9828392999479547,31.74404689995572,222.97571769997012
4,0,1,test,0,0.9182993000140414,1.911935199983418,224.88767870003358
4,1,4,control,0,1.662829800043255,3.575850599911064,226.55159409996122
4,2,7,test,1,1.6308419000124559,5.311925999936648,228.2876694999868
4,3,0,control,7,3.1668151000048965,8.479892599978484,231.45563630003016
4,4,4,test,0,1.45820090000052,10.03992000001017,233.0156634999439
4,5,9,test,1,2.0068502000067383,12.151928799925372,235.12767229997553
4,6,0,test,8,3.110244799987413,15.367906300001778,238.34364980005194
4,7,2,test,1,0.903274399926886,16.375863899942487,239.35160729999188
4,8,9,control,7,6.654899299959652,23.031881699920632,246.00762529997155
4,9,1,test,0,2.4712437000125647,25.607906999997795,248.58365050004795
5,0,1,control,1,4.182924399967305,5.143971999990754,253.72764870000537
5,1,0,control,2,3.9508196000242606,9.09593930002302,257.6796159000369
5,2,4,test,0,0.9254807000979781,10.12792829994578,258.7116047999589
5,3,5,test,1,1.046103599946946,11.279903499991633,259.8635801000055
5,4,9,test,0,6.103908600052819,17.488015800016,266.07169220002834
5,5,3,test,2,1.4932970999507234,19.087903899955563,267.6715802999679
5,6,6,test,1,1.2361299000913277,20.4320035999408,269.0156800999539
5,7,2,test,1,1.2711292000021785,21.807927199988626,270.3916037000017
5,8,5,control,9,3.086938700056635,24.895982200047,273.47965879994445
5,9,0,control,7,2.870659100008197,27.767975499969907,276.35165209998377
6,0,8,control,9,2.4948987000389025,3.471954899956472,279.82363180001266
6,1,0,test,8,3.3199147999985144,6.89601079991553,283.2476877999725
6,2,9,control,9,2.0786992999492213,8.976000399910845,285.32767729996704
6,3,1,test,0,1.4856169000267982,10.56794209999498,286.91961910005193
6,4,8,control,9,0.9187653999542817,11.487899799947627,287.8395768000046
6,5,5,control,7,5.022988999960944,16.511997299967334,292.8636742000235
6,6,7,control,1,6.638840000028722,23.151936399983242,299.50361330003943
6,7,1,control,1,0.7748605000087991,23.92795569996815,300.27963280002587
6,8,9,test,1,0.8064344000304118,24.839956199983135,301.1916331000393
6,9,3,test,2,4.328103000065312,29.271969699999318,305.62364670005627
7,0,7,control,1,1.6068482000846416,2.3839808999327943,308.00765449996106
7,1,6,control,7,4.614899199921638,7.000009399955161,312.6236830999842
7,2,9,test,1,1.8336437999969348,8.935964499949478,314.5596381999785
7,3,1,control,1,0.7988530000438914,9.735963999992236,315.35963770002127
7,4,9,test,1,0.7484144000336528,10.592004399979487,316.21567850001156
7,5,2,test,1,1.3664347999729216,12.063980899984017,317.6876545000123
7,6,0,test,8,2.1515179000562057,14.319967099931091,319.9436405999586
7,7,7,test,1,3.455500700045377,17.879969500005245,323.5036431000335
7,8,0,test,9,16.196731599979103,34.18406350002624,339.80773720005527
7,9,1,control,1,1.5747014000080526,35.75995229999535,341.3836259000236
8,0,3,control,9,2.630918600014411,3.703952700016089,345.08760440000333
8,1,8,test,1,1.8239921000786126,5.6320416000671685,347.0156933000544
8,2,3,test,2,1.470555100007914,7.208010100061074,348.5916621000506
8,3,5,control,9,4.478843000018969,11.688051000004634,353.07170279999264
8,4,8,test,1,2.615375200053677,14.407966500031762,355.791618200019
8,5,5,test,1,0.620890700025484,15.135941000073217,356.5195927999448
8,6,6,control,7,3.158888200065121,18.295966600067914,359.6796185000567
8,7,5,control,9,6.902826100005768,25.199920500046574,366.5835722000338
8,8,7,test,1,1.8058625999838114,27.11198210006114,368.49563410005067
8,9,9,control,9,1.0068288000766188,28.119996599969454,369.5036484999582
9,0,4,test,1,1.9197632001014426,2.9199222999159247,372.4235962999519
9,1,1,test,0,0.9906496000476182,4.01590449991636,373.51957849995233
9,2,0,control,9,3.6709458999102935,7.687945400015451,377.1916195000522
9,3,6,test,0,3.127873199991882,10.919947099988349,380.4236211000243
9,4,9,control,9,1.6549097000388429,12.575957700028084,382.07963169994764
9,5,5,test,1,3.2712852000258863,15.951960599981248,385.4556346000172
9,6,8,test,1,2.8695477000437677,18.92799529992044,388.4316692999564
9,7,7,test,1,1.2531385000329465,20.287951299920678,389.79162529995665
9,8,9,test,0,1.2235877000493929,21.61598130001221,391.11965540004894
9,9,4,control,0,3.318818400031887,24.935925400000997,394.43959940003697
