trial,cue,digit,processor,keypress,cuetime,trialtime,sessiontime
0,0,4,control,5,7.486691400059499,11.149923600023612,12.3989322000416
0,1,6,control,7,2.062712199985981,13.213872199994512,14.462880700011738
0,2,8,test,8,5.346567299915478,18.565888299955986,19.814896899973974
0,3,2,test,2,1.949446100043133,20.517952400026843,21.766960899927653
0,4,6,control,9,2.1028245999477804,22.621909099980257,23.870917599997483
0,5,0,control,9,3.766913599916734,26.389943199930713,27.6389517999487
0,6,2,test,2,2.869299699901603,29.261901399935596,30.510909999953583
0,7,4,control,5,2.2149440000066534,31.477954000001773,32.72696270002052
0,8,7,control,7,1.7427548000123352,33.221888300031424,34.470896899932995
0,9,0,test,3,4.733364599989727,37.95789630000945,39.2069050000282
1,0,1,test,7,5.085196899948642,7.96797230001539,47.17490300000645
1,1,3,control,9,2.4149024999933317,10.383989299996756,49.59092009998858
1,2,6,control,9,2.9668918000534177,13.351984299952164,52.55891499994323
1,3,1,test,4,6.797304999898188,20.1519941999577,59.358925099950284
1,4,8,control,9,3.7429033000953496,23.896092299954034,63.10302309994586
1,5,9,test,6,5.893350899918005,29.792023099958897,68.9989536999492
1,6,4,test,1,4.173246799968183,33.96793649997562,73.1748673999682
1,7,0,test,8,2.6134212999604642,36.58397989999503,75.79091059998609
1,8,4,test,1,4.709395700017922,41.29597139998805,80.50290209997911
1,9,2,test,2,1.5413878000108525,42.8399607000174,82.04689150000922
2,0,4,test,8,6.069582700030878,8.080036500003189,90.12695760000497
2,1,5,control,7,6.5669018001062796,14.648063499946147,96.69498479994945
2,2,0,test,3,4.869205199996941,19.51998880004976,101.56690989993513
2,3,7,control,7,1.7668878000695258,21.287997300038114,103.33491830003913
2,4,3,control,5,5.470870100078173,26.75995660002809,108.80687760002911
2,5,4,test,1,4.1332256000023335,30.895975599996746,112.94289659999777
2,6,3,test,8,7.5654406999237835,38.46402139996644,120.51094239996746
2,7,7,control,7,1.2468338999897242,39.71196810004767,121.75888909993228
2,8,6,test,1,1.533432799973525,41.24807339999825,123.29499439999927
2,9,3,test,8,4.021282200003043,45.27197919995524,127.31890019995626
3,0,1,test,9,3.853593600098975,5.255995299899951,132.574921399937
3,1,5,control,5,7.214925999986008,12.471964399912395,139.79089049994946
3,2,9,test,3,6.085614599986002,18.560022999998182,145.87894910003524
3,3,2,control,7,1.1746999999741092,19.735995900002308,147.05492200003937
3,4,0,test,8,1.8774198000319302,21.61595090001356,148.93487689993344
3,5,9,test,8,4.7895572000416,26.408102799905464,153.72702909994405
3,6,3,control,7,1.9028278000187129,28.312034799950197,155.63096099998802
3,7,1,control,1,1.9666684999829158,30.279947299975902,157.59887340001296
3,8,3,test,5,10.989334400044754,41.271979499957524,168.59090549999382
3,9,2,control,9,3.4388325999025255,44.711966799921356,172.03089279995766
4,0,5,test,5,8.557527199969627,10.088068599929102,182.11898759996984
4,1,8,test,1,2.037387900054455,12.127967200009152,184.15888619993348
4,2,2,test,2,1.6772978999651968,13.807956899981946,185.83887600002345
4,3,8,test,8,3.4613912999629974,17.272025699960068,189.30294480000157
4,4,4,test,1,5.82937219995074,23.103986999951303,195.13490599999204
4,5,5,test,2,1.653309200075455,24.759938600007445,196.7908577999333
4,6,7,test,7,5.445420900010504,30.208016899996437,202.23893600003794
4,7,2,control,4,3.4948709999443963,33.704062299919315,205.7349811999593
4,8,9,control,9,2.3347358000464737,36.039949400001206,208.07086859992705
4,9,1,test,3,5.245303299976513,41.28798299992923,213.3189021999715
5,0,3,control,3,3.3508987000677735,4.40799090010114,217.72691989992745
5,1,5,control,3,2.3748811000259593,6.7839864999987185,220.1029155999422
5,2,4,test,8,2.413408900029026,9.200029700063169,222.51895880000666
5,3,5,test,8,5.237408600049093,14.439940300071612,227.75886950001586
5,4,6,control,7,1.4148702999809757,15.855969100026414,229.1748981999699
5,5,4,control,5,3.6388809999916703,19.495951400022022,232.8148804999655
5,6,5,control,3,4.278872600058094,23.775958500104025,237.0948875999311
5,7,9,control,5,2.7987940999446437,26.575927300029434,239.89485639997292
5,8,3,control,3,3.198913999949582,29.77596410003025,243.09489319997374
5,9,9,test,1,4.4612705000909045,34.23996820009779,247.55889730004128
6,0,4,control,5,1.5429679999360815,2.35997959994711,249.91890319995582
6,1,8,test,8,3.421203100006096,5.783973000012338,253.3428967000218
6,2,4,test,4,3.7655748000834137,9.551955200033262,257.110878800042
6,3,6,control,9,1.1348182999063283,10.687935999943875,258.2468595999526
6,4,7,test,1,4.885499299969524,15.575952699990012,263.1348762999987
6,5,0,test,8,1.5814967000624165,17.159934800001793,264.71885830000974
6,6,8,test,6,6.853539600037038,24.01597910001874,271.5749026000267
6,7,1,test,7,1.9093726000282913,25.927959199994802,273.48688270000275
6,8,5,control,9,1.6548896000022069,27.583971499931067,275.142894999939
6,9,1,test,1,2.6534604999469593,30.24001169996336,277.7989351999713
7,0,2,control,7,1.3509238000260666,2.1279098000377417,279.92687139997724
7,1,7,test,1,1.9173733000643551,4.047924300073646,281.8468860000139
7,2,1,control,1,3.7589379999553785,7.80798170005437,285.60694339999463
7,3,2,control,9,1.5508661000058055,9.359976900042966,287.15893859998323
7,4,3,test,8,1.4452967999968678,10.807906200061552,288.6068679000018
7,5,0,test,8,2.8453616000479087,13.655923600075766,291.45488530001603
7,6,2,test,2,1.2373631000518799,14.895877300063148,292.6948390000034
7,7,3,test,4,1.8694820000091568,16.767936300020665,294.56689799996093
7,8,7,control,7,1.2708861998980865,18.03990590001922,295.8388674999587
7,9,8,control,9,1.3988726999377832,19.439893000060692,297.23885470000096
8,0,2,test,2,1.0935132000595331,1.9199590000789613,299.15883870003745
8,1,7,test,1,2.965593200060539,4.888002700055949,302.12688240001444
8,2,1,control,1,1.7189064999110997,6.607983299996704,303.8468629999552
8,3,5,test,2,1.3735802000155672,7.983974100090563,305.2228536999319
8,4,1,test,7,2.9096407999750227,10.896052500000224,308.13493209995795
8,5,8,test,8,1.3653650999767706,12.264014500076883,309.50289420003537
8,6,7,control,7,1.0389148999238387,13.304030800005421,310.54291059996467
8,7,5,control,9,2.3268977000843734,15.63198360009119,312.87086329993326
8,8,2,test,2,1.117337099974975,16.751975700026378,313.99085539998487
8,9,9,test,6,5.189207199960947,21.943999100010842,319.18287999997847
9,0,5,control,9,1.08692179992795,1.7999385999282822,320.9828714999603
9,1,2,test,2,0.9973728000186384,2.7999439999694005,321.98287690000143
9,2,3,control,7,1.2468761999625713,4.047928899992257,323.2308618000243
9,3,1,test,7,3.0696353000821546,7.120003999909386,326.3029368999414
9,4,7,test,1,1.2694340000161901,8.391923999995925,327.57485690002795
9,5,2,control,3,1.7988944000098854,10.191958099952899,329.3748909999849
9,6,8,test,8,1.196816699928604,11.391975299920887,330.57490809995215
