trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,6,4,4.662612300133333,7.346173299942166,8.566446100128815
0,1,2,3,4.494727899786085,11.842175599886104,13.0624484999571
0,2,4,2,6.2307595000602305,18.074150800006464,19.29442370007746
0,3,6,4,10.942945699905977,29.01831589988433,30.238588799955323
0,4,3,3,2.294622000074014,31.31415420002304,32.53442750009708
0,5,9,5,6.398938400205225,37.71425199997611,38.934524999931455
0,6,3,3,3.6147839999757707,41.330193700036034,42.550466699991375
0,7,8,6,5.470726100029424,46.802143400069326,48.02241630014032
0,8,6,5,3.8549166000448167,50.65825779992156,51.87853069999255
0,9,1,4,4.77463739993982,55.434151499997824,56.65442440006882
0,10,5,5,11.694784599822015,67.13018539990298,68.35045840009116
0,11,8,5,4.670660899952054,71.8021692999173,73.02244219998829
0,12,1,1,2.0546399999875575,73.8581409000326,75.07841380010359
0,13,2,3,1.8948057999368757,75.75414570001885,76.97441860008985
0,14,8,4,3.9747772999107838,79.73014819994569,80.9504213000182
0,15,4,2,4.58285400015302,84.31421729992144,85.53449039999396
0,16,7,3,7.782792600104585,92.09817050001584,93.31844349997118
0,17,2,3,1.3667093999683857,93.46615089988336,94.68642379995435
0,18,9,4,3.59072560002096,97.05815759999678,98.27843050006777
0,19,1,1,8.37480239989236,105.43416619999334,106.65443919994868
1,0,8,1,8.350879000034183,10.591954300180078,117.24644990009256
1,1,0,5,4.4788383999839425,15.071953700156882,121.7264368000906
1,2,4,0,4.510849999962375,19.583983100019395,126.23846619995311
1,3,1,1,1.1667665999848396,20.751944300020114,127.406427500071
1,4,6,4,5.886857199948281,26.63999280007556,133.29447590000927
1,5,8,4,3.9428711000364274,30.58401870005764,137.23850190010853
1,6,9,4,9.622802399797365,40.20800760015845,146.8624907999765
1,7,2,2,10.502788199810311,50.71198040014133,157.36646370007657
1,8,0,2,14.59082470019348,65.3039823002182,171.95846570003778
1,9,5,2,3.2308298000134528,68.53602620004676,175.19050960009918
1,10,8,3,9.32676890003495,77.86398880020715,184.5184720000252
1,11,2,3,1.7988211000338197,79.66400150000118,186.3184845999349
1,12,6,4,7.014801499899477,86.67998010013252,193.33446320006624
1,13,4,0,1.9907188001088798,88.67190980003215,195.3263930999674
1,14,1,1,1.190847699996084,89.86394240008667,196.51842550002038
1,15,5,2,6.462771699996665,96.32793090003543,202.98241399996914
1,16,8,6,7.8228553999215364,104.1519733001478,210.80645640008152
1,17,1,1,1.0148438001051545,105.16799920005724,211.82249170006253
1,18,7,9,11.606774399988353,116.77595840021968,223.4304415001534
1,19,1,1,0.8787475998979062,117.65588090009987,224.3103640000336
2,0,6,2,2.0787606998346746,3.2240164999384433,227.5344247999601
2,1,8,4,4.030877800192684,7.256058999802917,231.56646719994023
2,2,4,3,2.814754100050777,10.072028699796647,234.38243829994462
2,3,8,8,2.5107343001291156,12.583992599975318,236.89440089999698
2,4,2,3,3.1108029999304563,15.69600039999932,240.00640870002098
2,5,8,8,2.3108060001395643,18.00799289997667,242.318401100114
2,6,7,9,7.5588340000249445,25.568000599974766,249.87840880011208
2,7,9,4,1.590800300007686,27.159994799876586,251.47040310013108
2,8,4,2,2.518770599970594,29.679986799834296,253.99039519997314
2,9,9,6,5.382847799919546,35.06402279995382,259.37443100009114
2,10,8,8,1.6147525999695063,36.67999959993176,260.9904078000691
2,11,1,1,0.8387833000160754,37.51999059994705,261.83039880008437
2,12,4,4,2.862900499952957,40.38407369982451,264.694482000079
2,13,1,1,1.1427607000805438,41.52800159994513,265.83840980008245
2,14,3,5,4.8788877001497895,46.40803769999184,270.71844590012915
