trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,8,0,3.5624484999570996,6.51641479996033,7.782588799949735
0,1,2,2,3.1011777000967413,9.620416400022805,10.886590600013733
0,2,9,1,3.7253495999611914,13.348465400049463,14.614639499923214
0,3,2,3,3.5971637000329792,16.948399899993092,18.214573999866843
0,4,8,0,2.621384099824354,19.57247929996811,20.83865339984186
0,5,1,7,3.0453510000370443,22.620514699956402,23.886688799830154
0,6,4,1,2.653253600001335,25.276413100073114,26.54258709982969
0,7,0,0,3.1253949999809265,28.404425899963826,29.670599999837577
0,8,5,2,4.997319700196385,33.404435500036925,34.670609399909154
0,9,3,1,2.8373996999580413,36.24448510003276,37.51065919990651
0,10,7,5,3.6053128000348806,39.85246059997007,41.118634699843824
0,11,4,1,4.261224799789488,44.116401199949905,45.38257519993931
0,12,3,1,3.7253336999565363,47.84443529997952,49.11060949997045
0,13,8,0,1.2294713999144733,49.07643639994785,50.34261039993726
0,14,3,2,2.317211600020528,51.39639759995043,52.662571699824184
0,15,6,6,9.117557700024918,60.51642700005323,61.7826009998098
0,16,5,7,3.093241000082344,63.61238389997743,64.87855809996836
0,17,2,2,3.5813486000988632,67.19640400004573,68.4625779998023
0,18,7,6,3.1332676999736577,70.33243780001067,71.59861180000007
0,19,2,2,1.8453016998246312,72.18040439998731,73.44657849986106
1,0,9,2,2.4295473999809474,5.639986200025305,79.08660759986378
1,1,8,0,1.4932615000288934,7.1359548000618815,80.58257619990036
1,2,4,7,2.8853913000784814,10.023983100196347,83.470604499802
1,3,5,5,3.5414428000804037,13.567966100061312,87.01458740001544
1,4,7,7,3.0213639000430703,16.591947300126776,90.03856869996525
1,5,8,8,2.6694132001139224,19.26399670005776,92.71061809989624
1,6,4,7,3.1653186997864395,22.432008899981156,95.87863039993681
1,7,1,9,2.9813844999298453,25.416055200155824,98.8626765999943
1,8,2,0,2.269473799970001,27.688010200159624,101.13463139999658
1,9,9,7,4.101084100082517,31.792009399970993,105.23863069992512
1,10,8,8,2.349237499991432,34.143971299985424,107.59059259993955
1,11,9,9,1.9173608000855893,36.06400300003588,109.51062459987588
1,12,1,6,2.6213016000110656,38.68801979999989,112.13464099983685
1,13,3,0,5.941390700172633,44.63204010017216,118.07866150001064
1,14,5,0,2.1492450998630375,46.78395970002748,120.23058119998313
1,15,1,9,2.6373282000422478,49.42398890014738,122.87061029998586
1,16,6,7,4.237308999989182,53.663977100048214,127.11059840000235
1,17,8,8,2.3413452999666333,56.00796449999325,129.45458589983173
1,18,9,1,3.4933678000234067,59.50399850006215,132.95061989990063
1,19,4,7,2.013425799785182,61.52001049998216,134.96663199993782
2,0,9,4,2.581304599996656,8.311886199982837,143.27856089989655
2,1,3,2,2.765353800030425,11.079870000015944,146.04654489993118
2,2,4,7,1.773390700109303,12.855884100077674,147.82255879999138
2,3,7,9,4.477363100042567,17.335937400115654,152.3026119999122
2,4,9,6,2.8372899000532925,20.175900199916214,155.14257479994558
2,5,3,0,2.8613859999459237,23.0399140000809,158.00658859987743
2,6,4,7,1.7734447999391705,24.81599249993451,159.7826669998467
2,7,5,7,2.7252042000181973,27.543854400049895,162.5105290999636
2,8,0,6,3.3732473999261856,30.919878700049594,165.8865533999633
2,9,7,6,2.645304299890995,33.56789750000462,168.53457209980115
2,10,5,0,3.1012405999936163,36.67188509996049,171.63855999987572
2,11,4,4,4.709387299837545,41.38391919992864,176.350593799958
2,12,9,9,2.9014041000045836,44.28794499998912,179.25461969990283
2,13,1,1,4.41335629997775,48.70391850010492,183.67059309990145
2,14,8,8,2.0213150000199676,50.727887199958786,185.6945618998725
2,15,2,2,4.781390500022098,55.5119211000856,190.4785957999993
2,16,8,8,2.421297799795866,57.93592759990133,192.90260229981504
2,17,7,9,4.525325399823487,62.46391010005027,197.43058489984833
2,18,6,9,2.7013465999625623,65.16792150004767,200.1345960998442
2,19,0,4,7.237161200027913,72.40783450007439,207.37450909987092
3,0,7,9,2.4132276999298483,5.432009299984202,212.80656139994971
3,1,4,4,3.2853524000383914,8.720053700031713,216.09460589988157
