trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,1,9,1.6730683000059798,2.7338808000058634,3.962067600004957
0,1,6,2,1.7678882000036538,4.617432700004429,5.845619400002761
0,2,2,2,0.7620660999964457,5.495078399995691,6.723265300010098
0,3,1,9,1.1736556999967434,6.785383700000239,8.013570600000094
0,4,6,4,1.8970405000000028,8.797916700001224,10.026103500000318
0,5,8,5,1.1130830000038259,10.028234600002179,11.256421400001273
0,6,0,9,1.6849403000087477,11.829624200006947,13.057811100006802
0,7,9,9,1.2720353999902727,13.219947599995066,14.448134700010996
0,8,2,2,0.6541394999949262,13.990975499997148,15.219162400011555
0,9,1,1,1.6925432999996701,15.802661800000351,17.030848700000206
0,10,3,9,0.9834702000080142,16.90644570000586,18.134632600005716
0,11,3,3,0.7744382999953814,17.798621900001308,19.0268087000004
0,12,4,9,1.4154969000082929,19.330982700004824,20.55916970000544
0,13,8,5,3.588529100001324,23.14248690000386,24.370674000005238
0,14,3,9,0.9183147000003373,24.179764400003478,25.40795120000257
0,15,5,5,0.6421785999991698,24.938370600008056,26.16655740000715
0,16,6,0,2.6261377000046195,27.681379100002232,28.909566000002087
0,17,9,5,1.2119351000001188,29.028806600006646,30.2569935000065
0,18,2,2,0.7442774000082863,29.89057380000304,31.118760600002133
0,19,7,7,0.7371017999976175,30.74474989999726,31.972936700010905
1,0,0,0,1.1192971999989823,1.7075585999991745,33.68053830000281
1,1,1,1,1.7215383000002475,3.5470370999973966,35.52001690000179
1,2,9,9,1.7185243999992963,5.38432689999172,37.35730680001143
1,3,5,5,0.6387660000036703,6.140331699993112,38.1133114000113
1,4,5,5,0.5506472999986727,6.808772000003955,38.78175170000759
1,5,6,2,0.5946755000040866,7.5215609000006225,39.49454060000426
1,6,5,5,0.7521872000070289,8.391113799996674,40.36409350000031
1,7,2,2,0.6643943999952171,9.172779799991986,41.14575950001017
1,8,1,3,1.1104281000007177,10.402382400003262,42.375362100006896
1,9,9,9,1.3305128000065451,11.852689599996665,43.82566940000106
1,10,6,2,2.9052412000019103,14.875367400003597,46.84834710000723
1,11,7,7,1.3298409999988507,16.3241951999953,48.29717490001349
1,12,0,0,1.2456913999922108,17.820596099991235,49.79357580000942
1,13,0,0,0.453573899998446,18.391080599991255,50.36406030000944
1,14,0,0,0.6330809000064619,19.142320500002825,51.11530020000646
1,15,6,6,3.3269946000073105,22.585817799990764,54.55879750000895
1,16,2,2,0.8945644000050379,23.61904439999489,55.592024000012316
1,17,8,8,1.7704372000007425,25.506426299994928,57.479406000013114
1,18,0,0,1.9048070999997435,27.532735100001446,59.50571480000508
1,19,1,1,0.8455770000000484,28.495670100004645,60.46864980000828
2,0,0,0,0.7395326000114437,1.3133759000047576,61.78206910000881
