trial,cue,digit,xmouse,ymouse,cuetime,trialtime,sessiontime
0,0,8,0.0,0.0,0.2113242000050377,2.3759614000009606,3.6633795000088867
0,0,8,0.0,0.0,0.4116063999972539,2.5762436000077287,3.8636619000026258
0,0,8,0.0,0.0,0.6284850999945775,2.7931224000058137,4.080540700000711
0,0,8,0.0,0.0,0.8448963999981061,3.009533600008581,4.296951900003478
0,0,8,0.0,0.0,1.0450240000063786,3.2096614000038244,4.497079900000244
0,0,8,0.0,0.0,1.2617189000011422,3.4263561999978265,4.713774600008037
0,0,8,0.0,0.0,1.4782719999930123,3.642910099995788,4.930329100010567
0,0,8,0.0020833333333333333,-0.001851851851851852,1.6953178999974625,3.8599551000079373,5.147373500003596
0,0,8,0.153125,0.21296296296296297,1.91133250000712,4.075969800003804,5.363388099998701
0,0,8,0.23333333333333334,0.25555555555555554,2.1276775000005728,4.292314599995734,5.57973270000366
0,0,8,0.215625,0.1425925925925926,2.344266300002346,4.508903499998269,5.796321700006956
0,0,8,0.12083333333333333,0.07222222222222222,2.560997499997029,4.725634700007504,6.013052800000878
0,0,8,0.058333333333333334,0.07962962962962963,2.761439199995948,4.926076400006423,6.21349470000132
0,0,8,-0.009375,0.05185185185185185,2.9778031000023475,5.14244029999827,6.429858600007719
0,0,8,-0.06354166666666666,0.053703703703703705,3.194492900001933,5.359130099997856,6.646548400007305
0,0,8,-0.12291666666666666,0.05555555555555555,3.4109196000063093,5.575556900002994,6.862975299998652
0,0,8,-0.03333333333333333,0.08518518518518518,3.611111299993354,5.775748500003829,7.063166799998726
0,0,8,0.014583333333333334,0.08888888888888889,3.8275035999977263,5.992140800008201,7.279558900001575
0,0,8,0.13020833333333334,0.08333333333333333,4.0277662000007695,6.192403299995931,7.47982160000538
0,0,8,0.14479166666666668,0.08703703703703704,4.244367899998906,6.409005099994829,7.696423400004278
0,0,8,0.13229166666666667,0.12222222222222222,4.460923000006005,6.625560100001167,7.912978200009093
0,0,8,0.041666666666666664,0.1259259259259259,4.67771800000628,6.842355300002964,8.129773399996338
0,0,8,0.046875,0.037037037037037035,4.894034199998714,7.058671399994637,8.346089500002563
0,0,8,0.07604166666666666,-0.09259259259259259,5.094177100007073,7.258814200002234,8.54623239999637
0,0,8,0.08958333333333333,-0.12777777777777777,5.294341500004521,7.4589787000004435,8.746396900009131
0,0,8,0.16666666666666666,-0.07222222222222222,5.511133599997265,7.6757709000085015,8.963189200003399
0,0,8,0.16458333333333333,-0.27037037037037037,5.727499600005103,7.892136700000265,9.17955480000819
0,0,8,0.10833333333333334,-0.21481481481481482,5.92759570000635,8.092233999996097,9.379652900010115
0,0,8,0.071875,-0.28888888888888886,6.14417620000313,8.308813299998292,9.59623160000774
0,0,8,0.07916666666666666,-0.43703703703703706,6.360938099998748,8.52557529999467,9.812993800005643
0,0,8,0.10729166666666666,-0.28703703703703703,6.561139199999161,8.725776499995845,10.013194700004533
0,0,8,0.11875,-0.20185185185185187,6.777349299998605,8.941986400008318,10.229404600002454
0,1,0,0.008333333333333333,-0.06481481481481481,0.2164102999959141,9.259090899999137,10.546509100007825
0,1,0,0.013541666666666667,-0.07962962962962963,0.4327978999936022,9.475478599997587,10.762896900007036
0,1,0,0.014583333333333334,-0.06296296296296296,0.632975999993505,9.675666199997067,10.963084500006516
0,1,0,-0.03125,-0.04814814814814815,0.8493147999979556,9.891995400001178,11.179413600009866
0,1,0,-0.04791666666666667,-0.040740740740740744,1.0662214999902062,10.10890219999419,11.396320400002878
0,1,0,-0.029166666666666667,0.020370370370370372,1.2829171999910614,10.325597899995046,11.613016200004495
0,1,0,0.035416666666666666,-0.02962962962962963,1.4991265999997267,10.541807100002188,11.829225299996324
0,1,0,0.08125,-0.05740740740740741,1.6993668999930378,10.7420473999955,12.029465600004187
0,1,0,0.09270833333333334,-0.05925925925925926,1.8994805999973323,10.942161400002078,12.229579699996975
0,1,0,0.11041666666666666,-0.05925925925925926,2.1161227999982657,11.158803600003012,12.446221899997909
0,1,0,0.12916666666666668,-0.06481481481481481,2.332518199997139,11.375199000001885,12.662617299996782
0,2,9,0.0125,-0.001851851851851852,0.2160038000001805,11.791916500005755,13.079334800000652
0,2,9,0.05,0.007407407407407408,0.4324256000109017,12.008338200001162,13.295756300009089
0,2,9,0.09479166666666666,0.007407407407407408,0.6327447000076063,12.20865749999939,13.496075700008078
0,2,9,0.128125,0.0,0.8494798000028823,12.425392500008456,13.712810900004115
0,3,1,0.0875,0.014814814814814815,0.21639890001097228,12.85842170000251,14.145839899996645
0,3,1,0.159375,-0.022222222222222223,0.43299740001384635,13.075019800002337,14.362437900010264
0,3,1,0.16979166666666667,-0.044444444444444446,0.6332947000046261,13.27531720000843,14.562735500003328
0,3,1,0.165625,-0.04259259259259259,0.8501987000054214,13.492221299995435,14.779639600004884
0,4,8,0.027083333333333334,0.037037037037037035,0.2156830999883823,13.72500370000489,15.012421899999026
0,4,8,0.07291666666666667,-0.001851851851851852,0.41606259999389295,13.925383099995088,15.212801400004537
0,4,8,0.14583333333333334,-0.011111111111111112,0.6322137999959523,14.141534299997147,15.428952500005835
0,4,8,0.159375,0.024074074074074074,0.8324550999968778,14.341775699998834,15.62919380000676
0,4,8,0.17708333333333334,-0.05,1.0489372000010917,14.558257700002287,15.845675800010213
0,5,6,0.06354166666666666,0.03888888888888889,0.2158522000099765,14.941725299999234,16.22914340000716
0,5,6,0.08854166666666667,0.06296296296296296,0.41605350001191255,15.14192660000117,16.429344899996067
